No.	한글	日本語	예문	例文
1	까지	～まで	강남까지 가는데 시간이 어느 정도예요?	江南 まで行くのに時間 が どれくらいですか？
2	께	～に（丁寧語）	부모님께 드리고 싶은 선물이 있어요.	両親に差し上げたいお土産があります。
3	께서	～が（丁寧語）	할머니께서 사과를 사오라고 하셨어요.	おばあさんがリンゴを買ってきてといいました。
4	( 이 ) 나	でも	밥이나 먹으러 가고 싶어요.	ご飯でも食べに行きたいです。
5	( 이 ) 나	か	교환이나 환불 원하시면 연락주세요.	交換か返金をご希望されるならご連絡ください。
6	( 이 ) 나	も	쇼핑하는데 열시간이나 걸렸어요.	ショッピングするのに10時間 も かかりました。
7	( 이 ) 랑	と	친구랑 같이 왔어요.	友達と一緒に来ました。
8	도	～も	내일도 오늘도 날씨가 좋아요.	明日も今日も天気が良いです。
9	마다	～ごと	한국에 올 때마다 이 가게를 찾아요.	韓国に来るたびに、この店に行きます。
10	만	～だけ	지금 5000원만 있어요.	今、5000ウォンだけあります。
11	밖에	～しか	시간이 한시간밖에 없어요.	時間が一時間しかありません。
12	보다	～より	이것보다 이게 더 어울려요.	これよりも、こっちがもっと似合います。
13	부터	～から	지하철은 아침 5시부터 운영합니다.	地下鉄は朝の5時から運営します。
14	에	～に	남대문 시장에 가고 싶어요.	南大門市場に行きたいです。
15	에게	～に	손님에게 특별히 드립니다.	お客様に特別に差し上げます。
16	에게서	～から	호텔 직원에게서 받았습니다.	ホテルの職員からもらいました。
17	에서	～から	공항에서 지하철 타고 왔어요.	空港から地下鉄に乗ってきました。
18	와/과	～と	본래 가격 과 달라요.	本来の価格 と 違います。
19	～ ( 으 ) 로	～に	저는 서울로 가요.	私はソウルに行きます。
20	은/는	～は	저는 일본사람이에요.	私は日本人です。
21	을/를	～を	택시를 불러주세요.	タクシーを呼んでください
22	의	～の	한국의 화장품은 특별해요.	韓国の化粧品は特別です。
23	이/가	～が	오늘은 날씨가 맑을 거예요.	今日は天気がいいでしょう。
24	이/가 아니다	～ではない	제 물건이 아닙니다.	私の物ではありません。
25	처럼	～のように	배우처럼 생기셨네요.	俳優 のように 見えますね。
26	하고	～と、して	양념 치킨하고 맥주 주세요.	ヤンニョムチキン とビールください。
27	한테	～に	백화점 안내원한테 물어보세요.	デパートの案内係に聞いてみてください。
28	한테서	～から	이거는 어머니한테서 선물로 받은 거예요.	これは母からプレゼントとしてもらいました。
29	～(으)ㄴ 것 같다	～したみたい/気がする	택시 비용이 좀 비싼 것 같아요.	タクシーの費用がちょっと高い気がします。
30	～( 으 ) ㄹ 것 같다	～するみたい	이 화장품은 한국에서 인기가 많을 것 같아요.	この化粧品は韓国で人気が 高いみたいです。
31	～(으)ㄴ 적이 없다	～したことがない	저는 한국에 가본 적이 없어요.	私は韓国に行ったことがありません。
32	～(으)ㄴ 적이 있다	～したことがある	이 가게에 와본 적이 있어요.	この店に来たことがあります。
33	～(으)ㄴ 지	～てから	이 가게가 생긴지 얼마나 됐어요?	この店ができてから、どれくらいになりました？
34	～(으)ㄴ 지	～て	한국에 온지 3일이 지났습니다.	韓国に来て、3日が経ちました。
35	～(으)ㄴ 후에	～した後に	쇼핑한 후에 밥 먹었습니다.	ショッピングした後にご飯を食べました。
36	～(으)ㄴ데(요)	～けど	역에서 좀 먼데요.	駅からちょっと遠いんですけど。
37	～(으)ㄴ데(요)	～が	저, 죄송한데요, 길 좀 알려줄 수 있어요?	あの、 す み ませんが、道をちょっと教えていただけませんか？
38	～(으)니까	～だから	일본 돈밖에 없으니까 환전해야돼요.	日本のお金しかない から 、換金しなければいけません。
39	～(으)ㄹ 것이다	～するだろう	여기 식당은 맛있을 거예요.	ここの食堂は美味しいでしょう。
40	～(으)ㄹ 때	～する時	내가 버스타고 있었을 때 잃어버렸어요.	私がバスに乗っていた時になくしてしまいました。
41	～(으)ㄹ 수 없다	～できない	여기서는 사진을 찍을 수 없습니다.	ここでは写真を撮ることができません。
42	～(으)ㄹ 수 있다	～できる	저는 한국말 조금 할 수 있어요.	私は韓国語が少しできます。
43	～(으)ㄹ게요	～しますよ	제가 전화할게요.	私が電話しますよ。
44	～(으)ㄹ까 하다	～しようと思う	명동에 갈까 해요.	明洞(ミョンドン)に行こう と 思っています。
45	～( 으 ) ㄹ까봐	～するかと思って	여행가는데 현금이 모자랄까봐 걱정했어요.	旅行に行くのに現金が足りない か と思って心配しました。
46	～(으)ㄹ까요	～しましょうか？	여기서 걸어갈 까 요?	ここから歩いて行 きましょうか ？
47	～( 으 ) ㄹ까요 ?	～でしょうか？	요금은 이걸로 괜찮을까요?	料金はこれで 大丈夫でしょうか ？
48	～(으)ㄹ래요	～ます	저는 이걸로 할래요.	私はこれにします。
49	～( 으 ) ㄹ래요 ?	～しますか？	이걸로 계산하실래요?	これで計算いたしましょうか？
50	～(으)러 가다	～しに行く	한국에 놀러 갈거예요.	韓国に遊びに行こうと思っています。
51	～(으)러 오다	～しに 来る	여기에 예약하러 왔어요.	ここに予約しに来ました。
52	～(으)려고	～しようと	하시는 말을 이해하려고 노력하고 있어요.	仰っている言葉を理解しようと努力しています。
53	～(으)려고 하다	～しようと思う	찜찔방에 들어가려고 합니다.	チムチルバンに入ろうと 思います 。
54	～(으)려고요	～するつもりです、予定です	지금부터 아이돌 콘서트에 가려고요.	今から、アイドルのコンサートに行く予定です。
55	～(으)면	～な ら	코엑스에 가면 뭘 볼 수 있을까요?	コエックスに行ったら何を見れますか？
56	～(으)면서	～しながら	핸드폰을 보면서 걷지 마세요.	携帯を見ながら歩かないでください。
57	～(으)ㅂ시다	～しましょう	순두부를 주문해봅시다.	スンドゥブを 注文してみましょう。
58	～(으)세요	～してください	삼겹살 2인분 주세요.	サムギョプサルを二人前ください。
59	～(으)십시오	～してください	일본에도 놀러 오십시오.	日本にも遊びに来てください。
60	～(이)지요?	～ですよね？	카드로 계산 되 지요 ?	カードで支払えますよね？
61	～거나	～したり	시장에 가거나 카페에 가고 싶어요.	市場に行ったり、カフェに行きたいです。
62	～게	～く	싸게 해주세요.	安くしてください。
63	～게 되다	～になる	한국말 공부하다보니 한국에 오게 됐어요.	韓国語を勉強してたら、韓国に来るようになりました。
64	～고	～して	여기서 내리고 길을 건너세요.	ここで降りて道を渡ってください。
65	～고 싶다	～したい	저는 서울역 주변의 약국에 가고 싶어요.	私はソウル駅周辺の薬局に行きたいです。
66	～고 있다	～している	지금 무슨말 할까 생각하고 있어요.	今、なんて言おうか考えています。
67	～군요	～ですね	병원에 가려면 여기 쭉 가면 되는군요.	病院に行こうとしたらここをまっすぐ行けばいいのですね。
68	～기 때문에	～のせいで	너무 많이 걸었기 때문에 다리가 피곤해요.	とても沢山歩いた せいで 、足が疲れています。
69	～기 전에	～の前に	결제하기 전에 확인하고 싶은게 있는데요 .	支払いの前に確認したいことがあるのですが。
70	～기로 하다	～することにする	제가 여행중이라 조금만 마시기로 했어요.	私が旅行中なので、少しだけ飲むことにしました。
71	～네요	～ですね	그럼 다 합쳐서 4000원이네요?	そしたら、すべて合わせて4000ウォンです ね ？
72	～는 게 좋겠다	～するのがよい	시간이 없으니까 빨리 가는 게 좋겠어요.	時間がないので、急いで行った方がいいですよ。
73	～는데	～するのに	입국심사하는데 별로 많이 안 기다렸어요.	入国審査するのに、あまり待ちませんでした。
74	～ ㅂ / 습니까 ?	～ですか ?	언제 한국에 갑니까?	いつ韓国に行きますか？
75	～ㅂ/습니다	～です	내일 한국에 갑니다.	明日、韓国に行きます。
76	～아/어/여 보다	～してみる	이것도 시식해보세요.	これも試食してみてください
77	～아/어/여 주다	～してくれる	알려줘서 고맙습니다.	教えてくださり、有難うございます。
78	～아/어/여야 되다	～しなければならない	봉투는 따로 구매하셔야 됩니다.	袋は別途に購入しなければなりません。
79	～아/어/여야 하다	～しなければならない	차타고 가야 합니다.	車に乗っていかなければなりません。
80	～아/어요	～です	좋아요.	良いです。
81	～았/었/였으면 좋겠다	～したらいい	빨리 배달 왔으면 좋겠는데.	早く配達が来たらいいのに。
82	～지 말다	～しないで	담배피우지 마세요.	タバコ吸わないでください。
83	～지 못하다	～できない	도와주지 못해서 죄송합니다.	お役に立てれずにすみません。
84	～지 않다	～しな い	지하철 타지 않고 걸어갈게요.	地下鉄に乗らないで、歩いていきますね。
85	～지만	～だが	오래 전에 주문했지만 요리가 아직 안 왔어요.	ずっと前に注文したのです が 、料理がまだ来てません。